Date,Time,Open,High,Low,Close,Volume
2019.07.09,02:00,1.12128,1.12135,1.12113,1.12117,683
2019.07.09,03:00,1.12116,1.12134,1.12109,1.12111,669
2019.07.09,04:00,1.12112,1.12177,1.12102,1.12172,799
2019.07.09,05:00,1.12172,1.12175,1.12133,1.12133,714
2019.07.09,06:00,1.12134,1.12139,1.12059,1.1207,2936
2019.07.09,07:00,1.12072,1.12131,1.12046,1.12075,4297
2019.07.09,08:00,1.12074,1.12098,1.11957,1.11982,3176
2019.07.09,09:00,1.11985,1.12043,1.11929,1.12035,2686
2019.07.09,10:00,1.12034,1.12083,1.12011,1.12017,2333
2019.07.09,11:00,1.12019,1.12025,1.11954,1.12025,2396
2019.07.09,12:00,1.12026,1.1209,1.12002,1.12043,4016
2019.07.09,13:00,1.12042,1.12096,1.12012,1.12066,4140
2019.07.09,14:00,1.12064,1.12105,1.12001,1.12052,3969
2019.07.09,15:00,1.12052,1.12108,1.12045,1.12087,3132
2019.07.09,16:00,1.12087,1.12102,1.11995,1.12081,2506
2019.07.09,17:00,1.12082,1.12135,1.12074,1.12104,2054
2019.07.09,18:00,1.12102,1.12115,1.12074,1.12075,1301
2019.07.09,19:00,1.12074,1.12083,1.12028,1.12064,1516
2019.07.09,20:00,1.12067,1.12078,1.12041,1.12075,557
2019.07.09,21:05,1.12068,1.12085,1.1206,1.12075,523
2019.07.09,22:05,1.12074,1.12079,1.12052,1.12055,333
2019.07.09,23:05,1.12054,1.12061,1.12038,1.1204,575
2019.07.10,00:00,1.1204,1.1204,1.12015,1.12031,959
2019.07.10,01:00,1.12032,1.12049,1.12019,1.12038,994
2019.07.10,02:00,1.12037,1.12099,1.12024,1.12096,1038
2019.07.10,03:00,1.12096,1.12096,1.12056,1.12068,693
2019.07.10,04:00,1.12066,1.12077,1.12061,1.12071,566
2019.07.10,05:00,1.1207,1.12102,1.12066,1.12093,988
2019.07.10,06:00,1.12093,1.12175,1.12031,1.12122,4073
2019.07.10,07:00,1.12121,1.12169,1.1208,1.12142,3683
2019.07.10,08:00,1.12143,1.12266,1.1214,1.12249,4133
2019.07.10,09:00,1.12248,1.12289,1.12191,1.12235,4559
2019.07.10,10:00,1.12234,1.12234,1.12157,1.12162,2749
2019.07.10,11:00,1.12162,1.12179,1.12118,1.12131,2686
2019.07.10,12:00,1.12131,1.1255,1.12122,1.12496,9756
2019.07.10,13:00,1.12497,1.12529,1.12367,1.12389,6700
2019.07.10,14:00,1.12388,1.12569,1.12353,1.12525,7656
2019.07.10,15:00,1.12521,1.12626,1.12424,1.12595,5264
2019.07.10,16:00,1.12595,1.12638,1.12523,1.12589,3322
2019.07.10,17:00,1.12588,1.12603,1.12526,1.12537,3290
2019.07.10,18:00,1.1254,1.12614,1.12506,1.12523,3105
2019.07.10,19:00,1.12524,1.12568,1.12522,1.12531,1785
2019.07.10,20:00,1.12531,1.12537,1.12498,1.12504,882
